padress,pclass,plink,pname,pnum,preq,pres,ptime
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,具备扎实的计算机基础，精通常用算法和结构；精通C/C++/java 熟悉多进程编程和进程间通讯；至少熟悉一门脚本开发语言(如shell、perl、python)，有丰富的自动化测试脚本编写经验；有web前端开发者优先； 责任心强，良好的沟通能力和团队协作能力； 本科以上学历，至少2年开发或测试开发经验。,负责专项测试的内容和测试工具的开发，如客户端性能、服务端性能、协议和客户端安全等；负责或参与专项技术深入研究，并产生可在业务落地的测试方法及工具；负责推动研发团队在专项模块的持续优化，为用户提供更好的产品体验。,2019-01-12
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,具有较强的学习能力，熟悉分布式系统原理；有3年以上Linux C/C++ 后台高性能服务器开发经验；熟悉大数据处理平台hadoop/spark/storm等，熟悉机器学习框架者优先。,负责分布式任务调度系统、大数据处理平台相关开发工作。,2019-01-12
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,3年以上互联网产品的设计经验，有成功案例优先；熟练运用用户体验设计方法，并通过高质量的原型清晰地表达设计方案； 对工作充满激情，对互联网趋势和前沿领域有敏锐的洞察力和强烈的兴趣；具备一定的抗压能力，良好的沟通和理解力；精通Sketch、Axure等，本科以上学历；具备较强的AE、动效设计、原型开发能力者优先；具备英语工作环境或国际化产品项目经历者优先。,负责全民K歌多终端项目的交互设计； 参与用户研究过程，善于归纳用户需求及体验目标； 能够基于用户需求和产品理念，高效准确地提供相对合理的设计方案；能够主动发现产品中的体验问题，并给出优化方案；能够结合项目制订设计规范，并推动在整个团队中的实施；帮助发掘和思考产品未来的发展和设计方向。,2019-01-12
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,法律本科以上学历，对互联网行业有较为深入的理解；有严密的逻辑思维能力、清楚的沟通表达能力、高效的执行力和应变能力；五年以上诉讼相关工作经验，具备司法部门工作、知名企业或互联网行业工作经历者优先。,跟进处理公司的知识产权、合同、不正当竞争、反垄断等各类诉讼案件；撰写法律分析报告；完成领导交办的其它工作。,2019-01-12
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,拥有2年以上互联网产品的UI设计经验，需提供个人简历以及作品集；本科及以上学历，（能力优秀者可以适当放宽）；精通Photoshop、Sketch等常用设计工具；擅长手绘、动效设计、视频剪辑、3D建模者优先；具备良好的表达能力，沟通能力，以及团队合作意识；执行能力强、不拖需求，有较好的抗压能力；具有较强的学历能力，遇到新知识能有快速学习接受。,负责前期视觉用户研究、设计流行趋势分析； 视觉风格设定； 负责日常全民K歌手机端、电视端等各终端项目的UI设计和资源输出；能够团队合作，参与设计流程和规范的制定，保证团队规范的有效执行；负责与开发同事沟通保证UI设计在实际手机中的实现效果完美呈现及各种极限情况的妥善处理；能够发掘和思考产品未来的发展和设计方向，参与团队的专业化建设和知识传播。,2019-01-12
深圳,产品/项目类,position_detail.php?id=41096&keywords=&tid=0&lid=0,23295-互娱移动游戏社区产品经理（深圳）,2,有扎实的计算机理论基础；1年以上移动端或前端或游戏开发经验；具备很强的自我学习能力、乐于接受挑战，有较强的抗压能力、自我驱动力和积极思考的能力。,小游戏客户端框架；小游戏iOS/Android功能开发；小游戏性能优化、预研类探索。,2019-01-12
深圳,技术类,position_detail.php?id=39859&keywords=&tid=0&lid=0,15605-航海王IP动作游戏UE4客户端开发工程师（深圳）,1,"熟练掌握C++，熟悉3D技术，熟悉UE引擎底层架构设计；对游戏技术特定领域(比如AI, 动画, 物理)有深入研究者优先；有优秀的学习能力，善于沟通，热爱游戏事业； 了解UE引擎，对ACT游戏熟悉和热爱者优先。",负责UE游戏客户端的设计和开发； 与后台开发以及策划设计人员进行良好的沟通，负责游戏逻辑的编码和调试。,2019-01-12
广州,技术类,position_detail.php?id=39972&keywords=&tid=0&lid=0,WXG01-117 微信iOS功能开发工程师（广州）,3,有扎实的计算机理论基础，丰富的终端开发经验；对技术有热情、具备很强的学习和解决问题能力;具备优秀的沟通和团队合作能力，责任心强。,负责微信 Android 客户端基础功能开发。,2019-01-12
深圳,技术类,position_detail.php?id=40164&keywords=&tid=0&lid=0,TEG02-高级业务保障工程师（深圳）,2,三年以上影视制片人经验；具备独立策划剧本的能力，有统筹、组织、筛选剧本的能力，了解互联网产业者优先；能独立运作和开发项目，有影视圈资源者优先；熟悉剧组工作流程，可独立担任项目负责人，能独立完成影视剧剧本筛选、创作、前期策划、制作过程中的相关运作、影视作品后期发行宣传等全流程工作；具备独到的眼光及敏锐的市场嗅觉，对全平台新媒体影视内容及动向有一定的观察力和判断力；了解互联网产业者优先，有大型影视项目制片经验者优先。,负责评估影视剧项目前期策划的整体方向及执行细节；负责沟通并把控项目合作方、版权供应商等，并根据项目协调各部门工作；监管已进行项目的质量及进度，负责项目的整体生产制作，包括剧本策划、剧组筹备、中期拍摄、后期制作等，保证顺利完成影片；全流程跟进项目进度，随时协调解决项目进展中的问题；与客户沟通，协调相关工作。,2019-01-12
深圳,技术类,position_detail.php?id=40164&keywords=&tid=0&lid=0,TEG02-高级业务保障工程师（深圳）,2,"极强的责任心、上进心及信息安全、风险意识，长期保持积极的学习态度，紧跟互联网、金融、金融云、等业务的快速发展；较强的抗压能力，能够应对来自技术和业务方面的各种挑战；  硕士以上学历，2年及以上中大型IP网络、中大型金融类网络与网络安全运营维护经验， 熟悉城域网、数据中心网络架构及相应的技术，有较强的逻辑分析和故障排查能力； 精通交换、路由协议原理,熟悉常用路由协议（OSPF、ISIS、BGP)、精通TCP/IP通讯原理。 掌握QOS、MPLS、VRF等网络技术；熟悉Linux系统组件； 有5年及以上金融类网络、大型数据中心相关运营工作经验者优先；熟悉ISO20000、ITIL、ISO27001等行业标准优先。",负责公司金融类网络的精细化运营，提升金融类网络的可用性，相关网络疑难问题的跟进与处理，故障隐患的提前发现及预防；参与金融类网络运营体系、运营流程、规范建设，以及文档知识库的维护和优化；参与运营工具系统的开发需求设计，提升运营质量和效率；负责公司基础网络安全，包含网络设备、AAA服务器、防火墙等相关系统安全稳定运行。,2019-01-12
深圳,技术类,position_detail.php?id=40164&keywords=&tid=0&lid=0,TEG02-高级业务保障工程师（深圳）,2,1.本科或以上学历，3年以上欧美游戏大厂工作经验，同时具备项目开发和商务沟通经验者优先；2.热爱游戏行业，单机游戏、steam游戏经验丰富，有较为敏感的洞察力，熟悉了解海外游戏市场；4.出色的英语能力，能使用英文作为工作语言，具有较强的英文文字组织能力和商务谈判能力；5.为人正直，积极上进，有良好的人际沟通能力及环境适应能力；,1.负责与欧美游戏厂商合作项目的跟进；2.掌握欧美游戏市场产业动态，积极发掘新机会点，收集和整理海外游戏市场信息及产品信息；3.处理跨团队之间的项目沟通，进行必要的流程搭建及执行管理；,2019-01-12
